[Sun Jul 24 14:32:13.143459 2016] [rewrite:trace1] [pid 64728] mod_rewrite.c(475): [client 193.6.194.38:44199] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b40a0/subreq] [perdir /] pass through /var/www/infra2/index.php, referer: http://e-magyar.hu/index.php?/intro
[Sun Jul 24 14:32:15.608366 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] strip per-dir prefix: /var/www/infra2/intro -> var/www/infra2/intro, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608425 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] applying pattern '^(.+)$' to uri 'var/www/infra2/intro', referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608461 2016] [rewrite:trace4] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/intro' pattern='!-d' => matched, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608474 2016] [rewrite:trace4] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] RewriteCond: input='/var/www/infra2/intro' pattern='!-f' => matched, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608485 2016] [rewrite:trace2] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] rewrite 'var/www/infra2/intro' -> 'index.php?var/www/infra2/intro', referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608497 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] split uri=index.php?var/www/infra2/intro -> uri=index.php, args=var/www/infra2/intro, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608513 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] add per-dir prefix: index.php -> /index.php, referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608527 2016] [rewrite:trace1] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98648a20a0/initial] [perdir /] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://e-magyar.hu/
[Sun Jul 24 14:32:15.608754 2016] [rewrite:trace3] [pid 64729] mod_rewrite.c(475): [client 193.6.194.38:44201] 193.6.194.38 - - [e-magyar.hu/sid#7f9864945ac0][rid#7f98645b72f8/initial/redir#1] [perdir /] strip per-dir prefix: /var/www/infra2/index.php -> var/www/infra2/index.php, referer: http://e-magyar.hu/
